"Hollenbeck  Harold C.",553,14426,NA
"Holt  Marjorie S.",555,14021,NA
"Hopkins  Larry J.",557,14635,NA
"Horton  Frank J.",560,10596,NA
"Howard  James J.",564,10739,NA
"Hoyer  Steny H.",566,14873,NA
"Hubbard  Carroll  Jr.",567,14237,NA
"Huckaby  Thomas J. (Jerry)",569,14427,NA
"Hughes  William J.",572,14238,NA
"Hunter  Duncan",575,14835,NA
"Hutto  Earl",579,14636,NA
"Hyde  Henry J.",580,14239,NA
"Ireland  Andrew P.",585,94428,NA
"Jacobs  Andrew  Jr.",589,10742,NA
"Jeffords  James M.",593,14240,NA
"Jeffries  Jim",594,14637,NA
"Jenkins  Edgar L.",595,14429,NA
"Johnston  Eugene (Gene)",605,14836,NA
"Jones  Ed",608,12038,NA
"Jones  James R.",609,14026,NA
"Jones  Walter B.",611,10788,NA
"Kastenmeier  Robert W.",620,5101,NA
"Kazen  Abraham  Jr.",621,11023,NA
"Kemp  Jack",625,13020,NA
"Kennelly  Barbara B.",628,14877,NA
"Kildee  Dale E.",631,14430,NA
"Kindness  Thomas N.",633,14245,NA
"Kogovsek  Ray",644,14638,NA
"Kramer  Ken",650,14639,NA
"LaFalce  John J.",657,14248,NA
"Lagomarsino  Robert J.",658,14071,NA
"Lantos  Tom",663,14837,NA
"Latta  Delbert L.",668,5495,NA
"Leach  James A.",672,14432,NA
"Leath  Marvin",673,14641,NA
"LeBoutillier  John",674,14838,NA
"Lederer  Raymond F.",675,14434,NA
"Lee  Gary A.",676,14642,NA
"Lehman  William",680,14029,NA
"Leland  Mickey",681,14643,NA
"Lent  Norman F.",682,13021,NA
"Levitas  Elliott H.",685,14249,NA
"Lewis  Jerry",687,14644,NA
"Livingston  Bob",696,14469,NA
"Lloyd  Marilyn",698,14251,NA
"Loeffler  Tom",700,14645,NA
"Long  Clarence D.",703,10601,NA
"Long  Gillis W.",704,10602,NA
"Lott  Trent",707,14031,NA
"Lowery  Bill",708,14839,NA
"Lowry  Mike",710,14646,NA
"Lujan  Manuel  Jr.",712,12022,NA
"Luken  Thomas A.",713,14070,NA
"Lundine  Stanley N.",716,14289,NA
"Lungren  Daniel E.",717,14647,NA
"Madigan  Edward R.",724,14033,NA
"Markey  Edward J.",735,14435,NA
"Marks  Marc L.",736,14436,NA
"Marlenee  Ron",737,14437,NA
"Marriott  David Daniel",738,14438,NA
"Martin  David",739,14840,NA
"Martin  James G.",741,14035,NA
"Martin  Lynn M.",742,14841,NA
"Martinez  Matthew G.",743,14879,NA
"Matsui  Robert T.",748,14649,NA
"Mattox  James A.",750,14439,NA
"Mavroules  Nicholas",751,14650,NA
"Mazzoli  Romano L.",753,13024,NA
"McClory  Robert",757,10606,NA
"McCloskey  Paul N.  Jr.",759,11063,NA
"McCollum  Bill",761,14842,NA
"McCurdy  Dave",764,14843,NA
"McDade  Joseph M.",765,10607,NA
"McDonald  Lawrence P.",767,14252,NA
"McEwen  Bob",768,14844,NA
"McGrath  Raymond J.",771,14845,NA
"McHugh  Matthew F.",774,14253,NA
"McKinney  Stewart B.",781,13029,NA
"Mica  Daniel Andrew",799,14648,NA
"Michel  Robert H.",801,6455,NA
"Mikulski  Barbara A.",802,14440,NA
"Miller  Clarence E.",806,11034,NA
"Miller  George",808,14256,NA
"Mineta  Norman Y.",812,14257,NA
"Minish  Joseph G.",814,10609,NA
"Mitchell  Donald J.",817,14038,NA
"Mitchell  Parren J.",818,13031,NA
"Moakley  John Joseph",820,14039,NA
"Moffett  Toby",821,14258,NA
"Molinari  Guy",822,14846,NA
"Mollohan  Robert H.",825,6584,NA
"Montgomery  G. V. (Sonny)",827,11035,NA
"Moore  W. Henson",829,14259,NA
"Moorhead  Carlos J.",830,14040,NA
"Morrison  Sid",836,14847,NA
"Mottl  Ronald M.",839,14260,NA
"Murphy  Austin J.",841,14441,NA
"Murtha  John P.",844,14072,NA
"Myers  John T.",847,11036,NA
"Napier  John L.",852,14848,NA
"Natcher  William H.",853,6845,NA
"Neal  Stephen L.",855,14262,NA
"Nelligan  James L.",857,14849,NA
"Nelson  Bill",859,14651,NA
"Nichols  Bill",863,11037,NA
"Nowak  Henry",870,14264,NA
"O'Brien  George M.",872,14041,NA
"O'Neill Thomas P.",874,7081,NA
"Oakar  Mary Rose",875,14443,NA
"Oberstar  James L.",876,14265,NA
"Obey  David R.",877,12036,NA
"Ottinger  Richard L.",882,10760,NA
"Oxley  Michael G.",885,14875,NA
"Panetta  Leon",888,14444,NA
"Parris  Stanford E. (Stan)",890,14043,NA
"Pashayan  Charles  Jr.",891,14652,NA
"Patman  William N.",894,14850,NA
"Patterson  Jerry M.",898,14266,NA
"Paul  Ron",900,14290,NA
"Pease  Donald J.",904,14445,NA
"Pepper  Claude",907,7333,NA
"Perkins  Carl Dewey",908,7343,NA
"Petri  Thomas E.",912,14675,NA
"Peyser  Peter A.",915,13033,NA
"Pickle  J. J.",917,10614,NA
"Porter  John Edward",923,14677,NA
"Price  Melvin",929,7610,NA
"Pritchard  Joel",932,14044,NA
"Pursell  Carl D.",934,14446,NA
"Quillen  James H. (Jimmy)",937,10616,NA
"Rahall  Nick J.  II",940,14448,NA
"Railsback  Thomas F.",941,11041,NA
"Rangel  Charles B.",944,13035,NA
"Ratchford  William R.",946,14653,NA
"Regula  Ralph",951,14045,NA
"Reuss  Henry S.",954,7824,NA
"Rhodes  John J.",957,7845,NA
"Richmond  Frederick W.",959,14269,NA
"Rinaldo  Matthew J.",963,14046,NA
"Ritter  Don",965,14654,NA
"Roberts  Clint",967,14851,NA
"Roberts  Pat",968,14852,NA
"Robinson  J. Kenneth",970,13036,NA
"Rodino  Peter W.  Jr.",973,8010,NA
"Roe  Robert A.",974,12042,NA
"Roemer  Buddy",975,14853,NA
"Rogers  Harold",977,14854,NA
"Rose  Charlie",986,14048,NA
"Rosenthal  Benjamin S.",987,10551,NA
"Rostenkowski  Dan",988,8080,NA
"Roth  Toby",989,14655,NA
"Roukema  Marge",990,14855,NA
"Rousselot  John H.",992,10553,NA
"Roybal  Edward R.",996,10621,NA
"Rudd  Eldon D.",1000,14449,NA
"Russo  Martin A.",1004,14271,NA
"Sabo  Martin Olav",1007,14656,NA
"Santini  James D.",1014,14272,NA
"Savage  Gus",1020,14856,NA
"Sawyer  Harold S.",1021,14450,NA
"Scheuer  James H.",1029,10768,NA
"Schneider  Claudine",1032,14857,NA
"Schroeder  Patricia",1033,14051,NA
"Schulze  Richard T.",1035,14273,NA
