"Col1","Col2","Col3"
"Pickle  J. J.",917,10614
"Pike  Otis G.",918,10545
"Poage  W. R.",919,7498
"Podell  Bertram L.",920,11064
"Powell  Walter E.",926,13034
"Preyer  Richardson",928,12027
"Price  Melvin",929,7610
"Price  Robert D.",931,11062
"Pritchard  Joel",932,14044
"Quie  Albert H.",936,7671
"Quillen  James H. (Jimmy)",937,10616
"Railsback  Thomas F.",941,11041
"Randall  William J.",943,7717
"Rangel  Charles B.",944,13035
"Rarick  John R.",945,11042
"Rees  Thomas N.",950,10790
"Regula  Ralph",951,14045
"Reid  Ogden R.",953,90618
"Reuss  Henry S.",954,7824
"Rhodes  John J.",957,7845
"Riegle  Donald W.  Jr.",961,91043
"Rinaldo  Matthew J.",963,14046
"Roberts  Ray",969,10550
"Robinson  J. Kenneth",970,13036
"Robison  Howard W.",972,7995
"Rodino  Peter W.  Jr.",973,8010
"Roe  Robert A.",974,12042
"Rogers  Paul G.",978,8032
"Roncalio  Teno",981,10766
"Roncallo  Angelo D.",982,14047
"Rooney  Fred B.",983,10620
"Rooney  John J.",984,8049
"Rose  Charlie",986,14048
"Rosenthal  Benjamin S.",987,10551
"Rostenkowski  Dan",988,8080
"Roush  J. Edward",991,8084
"Rousselot  John H.",992,10553
"Roy  William R.",995,13037
"Roybal  Edward R.",996,10621
"Runnels  Harold L.",1001,13038
"Ruppe  Philip E.",1002,11045
"Ruth  Earl B.",1005,12028
"Ryan  Leo J.",1006,14049
"Sandman  Charles W.  Jr.",1011,11046
"Sarasin  Ronald A.",1016,14050
"Sarbanes  Paul S.",1017,13039
"Satterfield  David E.  3d",1019,10767
"Saylor  John P.",1024,8247
"Scherle  William J.",1028,11047
"Schneebeli  Herman T.",1031,8268
"Schroeder  Patricia",1033,14051
"Sebelius  Keith G.",1039,12029
"Seiberling  John F.",1040,13040
"Shipley  George E.",1051,8474
"Shoup  Dick",1052,13041
"Shriver  Garner E.",1053,10559
"Shuster  Bud",1055,14052
"Sikes  Robert L. F.",1056,8507
